"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
8823,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shimizugaoka","Tamareien","4",80000000,"","200",,"Irregular Shaped","5.0","155","2018","W","House","Other","Southwest","City Road",3.7,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8824,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shimizugaoka","Higashifuchu","4",60000000,"","85",,"Semi-trapezoidal Shaped","8.1","90","2023","W","House","House","Northwest","City Road",2.8,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8825,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shimizugaoka","Higashifuchu","6",45000000,"","95",,"Rectangular Shaped","","75","2022","W","House","House","South","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8826,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shiraitodai","Shiraitodai","4",67000000,"","2,000 m^2 or greater.",,"Rectangular Shaped","","","","","","House","North","City Road",,"",,,"1st quarter 2023","",""
8827,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Shiraitodai","6",45000000,"3LDK","70",,"","","","2007","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
8828,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Tobitakyu","9",44000000,"3LDK","85",,"","","","2011","RC","House","House","","",,"Quasi-residential Zone",60,300,"2nd quarter 2023","Done",""
8829,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Tobitakyu","12",33000000,"2LDK","50",,"","","","2011","RC","","House","","",,"Quasi-residential Zone",60,300,"1st quarter 2023","Not yet",""
8830,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Musashinodai","9",24000000,"3LDK","60",,"","","","1995","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
8831,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Shiraitodai","Musashinodai","1",350000000,"","1800",190000,"Semi-rectangular Shaped","38.0","","","","","House","North","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8832,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Shiraitodai","Musashinodai","9",33000000,"","155",210000,"Semi-rectangular Shaped","10.0","","","","","Other","South","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8833,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Musashinodai","9",36000000,"3LDK","70",,"","","","1995","SRC","","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8834,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shiraitodai","Musashinodai","11",37000000,"3LDK","70",,"","","","2001","RC","House","House","","",,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","Not yet",""
8835,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shimmachi","Kokubunji","18",56000000,"","155",,"Rectangular Shaped","7.0","105","2023","W","House","House","North","Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8836,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Shimmachi","Kokubunji","18",19000000,"","75",,"&quot;Flag-shaped&quot; etc.","","70","1967","W","Housing Complex","House","No facing road","",,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8837,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Shimmachi","Fuchu (Tokyo)","30-60minutes",26000000,"2LDK","45",,"","","","1994","RC","","House","","",,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8838,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","4",41000000,"4LDK","95",,"","","","2001","RC","","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
8839,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","5",62000000,"","155",,"Rectangular Shaped","13.5","150","1988","W","Housing Complex","House","South","Private Road",3.9,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","","Dealings including private road"
8840,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","3",48000000,"3LDK","85",,"","","","2007","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
8841,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","3",24000000,"2LDK","65",,"","","","1996","RC","House","Other","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8842,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","1",39000000,"3LDK","75",,"","","","1995","SRC","House","","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
8843,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sumiyoshicho","Nakagawara","3",43000000,"3LDK","80",,"","","","2007","RC","","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8844,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Sengencho","Higashifuchu","21",50000000,"","105",,"&quot;Flag-shaped&quot; etc.","2.7","75","2023","W","House","House","East","Private Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","","Dealings including private road"
8845,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Sengencho","Higashifuchu","28",39000000,"","65",,"Semi-shaped","12.5","70","2023","","House","Shop","South","City Road",12.0,"Quasi-residential Zone",60,300,"2nd quarter 2023","",""
8846,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sengencho","Higashifuchu","23",37000000,"3LDK","75",,"","","","1998","RC","","House","","",,"Quasi-residential Zone",60,300,"2nd quarter 2023","Done",""
8847,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sengencho","Higashifuchu","19",26000000,"2LDK","50",,"","","","1994","RC","House","House","","",,"Quasi-residential Zone",60,300,"2nd quarter 2023","Done",""
8848,"Residential Land(Land and Building)","Commercial Area","13206","Tokyo","Fuchu City","Sengencho","Musashikoganei","26",200000000,"","185",,"Trapezoidal Shaped","18.0","520","1999","RC","Housing Complex","House","East","Tokyo Metropolitan Road",18.0,"Quasi-residential Zone",60,300,"1st quarter 2023","",""
8849,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Sengencho","Musashikoganei","24",48000000,"4LDK","115",,"","","","2001","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8850,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Tenjincho","Kitafuchu","26",24000000,"","180",130000,"Semi-rectangular Shaped","","","","","","House","South","Private Road",2.2,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","","Dealings including private road"
8851,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Tenjincho","Fuchu (Tokyo)","20",42000000,"","105",,"Semi-shaped","","85","2023","W","House","House","North","Private Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8852,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Toshibacho","Kitafuchu","16",50000000,"4LDK","95",,"","","","2003","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
8853,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Nishiharacho","Yaho","11",49000000,"","110",,"Semi-square Shaped","10.3","90","2011","LS","House","House","Southwest","City Road",10.0,"Category I Exclusively Medium-high Residential Zone",50,100,"1st quarter 2023","",""
8854,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Nishifucho","Nishifu","4",64000000,"","100",,"Rectangular Shaped","7.7","100","2023","W","House","House","Northeast","City Road",6.0,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8855,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Nishifucho","Nishifu","6",20000000,"2LDK","50",,"","","","1996","RC","","House","","",,"Quasi-residential Zone",60,300,"1st quarter 2023","Not yet",""
8856,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Nikkocho","Kitafuchu","9",14000000,"2LDK","70",,"","","","1966","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","Not yet",""
8857,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Nisshincho","Nishifu","13",230000000,"","620",,"Semi-trapezoidal Shaped","27.0","720","1992","S","Housing Complex","Other","West","City Road",16.0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
8858,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Hachimancho","Higashifuchu","4",44000000,"","85",,"&quot;Flag-shaped&quot; etc.","2.5","90","2011","W","House","House","North","Private Road",4.5,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
8859,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Hachimancho","Higashifuchu","5",24000000,"","25",,"","","","2015","RC","","Other","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
8860,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Hachimancho","Higashifuchu","4",21000000,"1K","20",,"","","","2007","RC","","Other","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8861,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Hachimancho","Fuchu (Tokyo)","7",45000000,"","100",450000,"&quot;Flag-shaped&quot; etc.","2.0","","","","","House","West","City Road",3.8,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8862,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Hachimancho","Fuchu (Tokyo)","9",38000000,"3LDK","60",,"","","","1994","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8863,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Hachimancho","Fuchukeibaseimonmae","1",66000000,"","140",460000,"Semi-rectangular Shaped","12.7","","","","","House","North","Private Road",3.0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
8864,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Harumicho","Kitafuchu","7",42000000,"","55",,"Semi-rectangular Shaped","5.4","90","2007","W","House","","West","City Road",6.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8865,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Harumicho","Kitafuchu","9",45000000,"3LDK","70",,"","","","1995","RC","","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Done",""
8866,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Harumicho","Kitafuchu","5",60000000,"3LDK","85",,"","","","2008","RC","","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8867,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Harumicho","Fuchu (Tokyo)","9",46000000,"3LDK","60",,"","","","1995","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Done",""
8868,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Harumicho","Fuchu (Tokyo)","13",45000000,"3LDK","65",,"","","","2010","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8869,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","11",56000000,"","100",,"Semi-rectangular Shaped","7.4","100","2006","W","House","House","Northeast","City Road",6.0,"Category I Exclusively Low-story Residential Zone",60,150,"1st quarter 2023","",""
8870,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","12",60000000,"","110",530000,"&quot;Flag-shaped&quot; etc.","2.5","","","","","House","West","City Road",6.0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8871,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","3",74000000,"4LDK","80",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8872,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","3",98000000,"3LDK","85",,"","","","2018","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8873,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","3",56000000,"2LDK","60",,"","","","2011","RC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8874,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","7",7900000,"1K","20",,"","","","1994","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8875,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Fuchucho","Fuchu (Tokyo)","10",61000000,"3LDK","70",,"","","","2012","RC","","House","","",,"Quasi-residential Zone",60,200,"1st quarter 2023","Not yet",""
8876,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Bubaicho","Bubaigawara","11",48000000,"","100",,"Semi-rectangular Shaped","7.0","100","2011","W","House","House","Southeast","City Road",4.5,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8877,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Honshukucho","Nishifu","4",23000000,"3LDK","65",,"","","","1986","SRC","House","Other","","",,"Quasi-residential Zone",60,300,"2nd quarter 2023","Not yet",""
8878,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Honshukucho","Nishifu","11",50000000,"","110",,"Rectangular Shaped","9.3","90","2010","W","House","House","North","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8879,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Honshukucho","Nishifu","5",44000000,"","85",,"&quot;Flag-shaped&quot; etc.","2.6","80","2022","W","House","House","East","City Road",3.8,"Quasi-residential Zone",60,300,"1st quarter 2023","",""
8880,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Honshukucho","Fuchu (Tokyo)","26",53000000,"","120",,"Rectangular Shaped","","","","","","House","North","City Road",,"",,,"1st quarter 2023","",""
8881,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Honshukucho","Bubaigawara","11",20000000,"","130",,"Semi-trapezoidal Shaped","10.0","35","1966","W","","House","Southeast","Private Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","","Dealings including private road"
8882,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Honshukucho","Bubaigawara","9",46000000,"4LDK","65",,"","","","2018","RC","","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8883,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Hommachi","Fuchuhonmachi","1",68000000,"","100",,"Rectangular Shaped","6.0","170","1991","S","House, Office","House","West","Private Road",4.0,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
8884,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Hommachi","Bubaigawara","9",60000000,"","100",,"Semi-rectangular Shaped","7.1","90","2022","W","House","House","South","City Road",4.1,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8885,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Minamicho","Nakagawara","10",50000000,"","105",,"Semi-rectangular Shaped","4.3","80","2023","W","House","House","Northeast","City Road",6.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8886,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Minamicho","Nakagawara","14",45000000,"","90",,"Rectangular Shaped","10.9","70","2023","W","House","House","West","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8887,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Minamicho","Nakagawara","9",40000000,"","185",,"Semi-square Shaped","13.0","75","1977","LS","Housing Complex","House","Southeast","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8888,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Minamicho","Nakagawara","9",40000000,"3LDK","75",,"","","","2003","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
8889,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Minamicho","Fuchuhonmachi","19",23000000,"2LDK","50",,"","","","1991","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Done",""
8890,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","8",42000000,"","50",,"","","","2007","RC","","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
8891,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","4",46000000,"4LDK","65",,"","","","1997","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
8892,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","6",8400000,"1R","20",,"","","","1987","SRC","","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8893,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","5",8200000,"1K","15",,"","","","1987","SRC","House","Other","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8894,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","6",64000000,"4LDK","85",,"","","","2003","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8895,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyanishicho","Fuchu (Tokyo)","7",48000000,"3LDK","60",,"","","","1994","RC","","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Done",""
8896,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","5",41000000,"2LDK","55",,"","","","1995","SRC","","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
8897,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","2",50000000,"2LDK","65",,"","","","2011","RC","","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
8898,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","3",65000000,"3LDK","70",,"","","","","","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
8899,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","3",46000000,"1LDK+S","50",,"","","","2005","RC","","House","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
8900,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","4",55000000,"1LDK+S","80",,"","","","","SRC","","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8901,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyamachi","Fuchu (Tokyo)","4",58000000,"4LDK","80",,"","","","1997","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
8902,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","8",63000000,"","95",,"Rectangular Shaped","6.6","140","2003","S","House, Housing Complex, Shop","Office","East","City Road",8.0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
8903,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","9",43000000,"3LDK","75",,"","","","2007","RC","","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Done",""
8904,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","10",92000000,"","260",,"Rectangular Shaped","17.6","710","1989","RC","Housing Complex, Parking Lot","House","South","National Road",18.0,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","","Dealings between related objects"
8905,"Residential Land(Land Only)","Commercial Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","9",860000000,"","2,000 m^2 or greater.",360000,"Semi-shaped","36.7","","","","","Other","North","Tokyo Metropolitan Road",16.0,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
8906,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","7",59000000,"","55",,"Rectangular Shaped","6.5","90","2023","W","House","House","North","City Road",4.0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8907,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","6",53000000,"","95",570000,"Rectangular Shaped","5.5","","","","","House","North","City Road",4.0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8908,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","16",35000000,"","100",,"Trapezoidal Shaped","11.5","95","1990","W","Housing Complex","House","West","City Road",4.0,"Category I Exclusively Low-story Residential Zone",60,150,"1st quarter 2023","",""
8909,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Miyoshicho","Bubaigawara","9",17000000,"2LDK","55",,"","","","1996","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8910,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Musashidai","Kitafuchu","14",22000000,"","50",,"Semi-trapezoidal Shaped","10.0","105","1992","RC","Housing Complex","House","South","Tokyo Metropolitan Road",24.0,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8911,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Musashidai","Nishikokubunji","9",48000000,"","125",,"Rectangular Shaped","","100","","W","House","House","North","City Road",,"",,,"2nd quarter 2023","",""
8912,"Residential Land(Land Only)","Commercial Area","13206","Tokyo","Fuchu City","Musashidai","Nishikokubunji","24",5500000,"","65",87000,"Irregular Shaped","12.7","","","","","Other","South","Tokyo Metropolitan Road",30.0,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","","Dealings including private road"
8913,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Musashidai","Nishikokubunji","5",45000000,"","165",270000,"Irregular Shaped","5.0","","","","","","West","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8914,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Musashidai","Nishikokubunji","20",180000000,"","1200",140000,"Trapezoidal Shaped","50.0m or longer.","","","","","House","North","City Road",7.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8915,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Musashidai","Nishikokubunji","24",97000000,"","1000",97000,"Rectangular Shaped","16.0","","","","","","South","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","","Dealings including private road"
8916,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Tama","7",52000000,"","90",,"Irregular Shaped","9.7","85","2023","W","House","House","Southeast","City Road",16.4,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
8917,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Tama","10",49000000,"","95",,"Rectangular Shaped","6.0","85","2023","W","House","House","South","Tokyo Metropolitan Road",5.5,"Category II Exclusively Low-story Residential Zone",50,100,"2nd quarter 2023","",""
8918,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Tama","1",27000000,"","90",310000,"Irregular Shaped","23.2","","","","","Other","North","Private Road",3.2,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
8919,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Tamareien","12",290000000,"","910",,"Semi-rectangular Shaped","21.6","660","1995","S","Office, Warehouse","Office","West","City Road",14.6,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8920,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Tamareien","14",44000000,"","90",,"Rectangular Shaped","5.3","60","","W","House","House","South","Private Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","","Dealings including private road"
8921,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Momijigaoka","Musashinodai","11",42000000,"","135",310000,"Irregular Shaped","4.8","","","","","House","North","City Road",6.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8922,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Yazakicho","Koremasa","13",34000000,"3LDK","85",,"","","","1999","RC","","House","","",,"Category I Exclusively Medium-high Residential Zone",50,100,"2nd quarter 2023","Not yet",""
8923,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Yazakicho","Fuchuhonmachi","15",30000000,"3LDK","60",,"","","","1998","","","House","","",,"",,,"1st quarter 2023","Not yet",""
8924,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","10",42000000,"","100",,"Semi-rectangular Shaped","8.8","100","2001","W","House","House","Southwest","City Road",12.0,"Category I Exclusively Low-story Residential Zone",50,100,"2nd quarter 2023","",""
8925,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","20",42000000,"","100",,"Rectangular Shaped","7.0","95","2020","W","House","House","Northwest","City Road",4.2,"Category I Exclusively Low-story Residential Zone",50,100,"2nd quarter 2023","",""
8926,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","8",51000000,"","125",,"Irregular Shaped","20.8","100","2023","W","House","House","East","City Road",7.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
